lake,date,chl_mean,ndvi_mean,ndwi_g_mean,ndwi_s_mean,r_pix_ndvi_pearson,r_pix_ndvi_spearman,r_pix_ndwi_g_pearson,r_pix_ndwi_g_spearman,r_pix_ndwi_s_pearson,r_pix_ndwi_s_spearman,l2a_path,chl_path
Amatitlán,2025-03-09,8.908927917480469,0.19661246240139008,0.006931468844413757,0.434883713722229,0.732631504535675,0.5158165449372224,-0.6334217190742493,-0.2470368632040976,0.6968782544136047,0.6402635806039332,descargas_amatitlan\openEO_2025-03-09Z.tif,ciano_outputs\descargas_amatitlan\openEO_2025-03-09Z_chl.tif
Amatitlán,2025-03-14,9.341779708862305,0.13586826622486115,0.0652238205075264,0.4208274185657501,0.6572074294090271,0.507013717441716,-0.40964072942733765,-0.0317578397272505,0.7204670310020447,0.7273044060394777,descargas_amatitlan\openEO_2025-03-14Z.tif,ciano_outputs\descargas_amatitlan\openEO_2025-03-14Z_chl.tif
Amatitlán,2025-03-19,19.305288314819336,0.4095948040485382,-0.12828600406646729,0.6360493898391724,0.8576921224594116,0.84382169359778,-0.8114156126976013,-0.8038681993200705,0.6029514670372009,0.6033623541098009,descargas_amatitlan\openEO_2025-03-19Z.tif,ciano_outputs\descargas_amatitlan\openEO_2025-03-19Z_chl.tif
Amatitlán,2025-03-24,23.689531326293945,0.36408498883247375,-0.08887172490358353,0.5883025527000427,0.9008142352104187,0.8806578705726165,-0.8730129599571228,-0.8255000633282484,0.7431793212890625,0.739848394409257,descargas_amatitlan\openEO_2025-03-24Z.tif,ciano_outputs\descargas_amatitlan\openEO_2025-03-24Z_chl.tif
Amatitlán,2025-04-03,14.78062915802002,0.22221677005290985,0.012624695897102356,0.4665425419807434,0.8306627869606018,0.8366804083548437,-0.7180671691894531,-0.6590931647102867,0.8009275197982788,0.8699388676959618,descargas_amatitlan\openEO_2025-04-03Z.tif,ciano_outputs\descargas_amatitlan\openEO_2025-04-03Z_chl.tif
Amatitlán,2025-04-08,3.368626832962036,-0.023156320676207542,0.19501154124736786,0.10786400735378265,-0.46185484528541565,-0.4595790622974125,0.6317219734191895,0.6001968867141744,-0.6726333498954773,-0.667440095807335,descargas_amatitlan\openEO_2025-04-08Z.tif,ciano_outputs\descargas_amatitlan\openEO_2025-04-08Z_chl.tif
Amatitlán,2025-04-13,5.1148576736450195,-0.029781848192214966,0.15205906331539154,0.15002503991127014,0.854709267616272,0.8612807227651613,-0.7653139233589172,-0.6308298395589541,0.8265875577926636,0.6988141252223135,descargas_amatitlan\openEO_2025-04-13Z.tif,ciano_outputs\descargas_amatitlan\openEO_2025-04-13Z_chl.tif
Amatitlán,2025-04-15,6.2015557289123535,0.011073269881308079,0.1295011192560196,0.21768657863140106,0.924223005771637,0.7710302520513015,-0.8945838809013367,-0.6285619272425897,0.9100779294967651,0.6635219964903953,descargas_amatitlan\openEO_2025-04-15Z.tif,ciano_outputs\descargas_amatitlan\openEO_2025-04-15Z_chl.tif
Amatitlán,2025-04-18,5.507599353790283,-0.016422608867287636,0.15472817420959473,0.1714925616979599,0.8490881323814392,0.8516142027357623,-0.7820069789886475,-0.6449078115032087,0.8309934735298157,0.7255700355618994,descargas_amatitlan\openEO_2025-04-18Z.tif,ciano_outputs\descargas_amatitlan\openEO_2025-04-18Z_chl.tif
Amatitlán,2025-04-28,8.497123718261719,0.07838564366102219,0.08940081298351288,0.308422327041626,0.9279429316520691,0.919169407820374,-0.8644728660583496,-0.8174420184790326,0.8973514437675476,0.88788562800462,descargas_amatitlan\openEO_2025-04-28Z.tif,ciano_outputs\descargas_amatitlan\openEO_2025-04-28Z_chl.tif
