r,c,prob,yhat_raw,yhat_clustered
469,1080,0.7045602709806073,0,0
970,1148,0.7290617249283287,0,0
482,1746,0.7045602709806073,0,0
171,1483,0.7274510706103533,0,0
598,814,0.7531184320683209,0,0
577,1179,0.7274510706103533,0,0
483,2063,0.7290617249283287,0,0
643,1124,0.7274510706103533,0,0
432,1219,0.6027197451656674,0,0
718,1227,0.713336200177551,0,0
708,870,0.7531184320683209,0,0
900,1847,0.7055446717777563,0,0
440,919,0.7653894589865652,0,0
377,1425,0.7045602709806073,0,0
874,2147,0.713336200177551,0,0
522,861,0.7290617249283287,0,0
662,1845,0.711990263474641,0,0
190,1287,0.7653894589865652,0,0
791,1482,0.713336200177551,0,0
1259,981,0.7653894589865652,0,0
600,2130,0.7274510706103533,0,0
215,1398,0.7274510706103533,0,0
861,1229,0.713336200177551,0,0
982,1919,0.7274510706103533,0,0
300,2003,0.729815105485368,0,0
561,1002,0.713336200177551,0,0
578,1846,0.711990263474641,0,0
688,1157,0.711990263474641,0,0
415,1105,0.711990263474641,0,0
695,1823,0.3339940902685344,0,0
1371,806,0.8235438219141987,1,0
223,1290,0.7531184320683209,0,0
668,2134,0.711990263474641,0,0
428,1996,0.7290617249283287,0,0
752,1786,0.6027197451656674,0,0
534,690,0.8193268561712257,1,0
863,1580,0.713336200177551,0,0
836,971,0.7697265752001661,0,0
811,2169,0.711990263474641,0,0
362,1848,0.713336200177551,0,0
952,1864,0.720428641330266,0,0
266,1972,0.7290617249283287,0,0
843,1848,0.6689935163571238,0,0
620,1554,0.713336200177551,0,0
570,2064,0.713336200177551,0,0
531,750,0.8069369088429615,1,0
631,1441,0.713336200177551,0,0
509,2025,0.713336200177551,0,0
583,985,0.713336200177551,0,0
645,1174,0.713336200177551,0,0
512,1352,0.713336200177551,0,0
787,1543,0.713336200177551,0,0
563,1033,0.713336200177551,0,0
638,1309,0.713336200177551,0,0
508,463,0.8540379341840119,1,0
183,1328,0.7621373909238652,0,0
327,1991,0.7274510706103533,0,0
304,1450,0.711990263474641,0,0
714,1789,0.711990263474641,0,0
975,2185,0.713336200177551,0,0
681,1921,0.3339940902685344,0,0
579,886,0.7290617249283287,0,0
679,1383,0.713336200177551,0,0
683,2191,0.713336200177551,0,0
1109,2117,0.711990263474641,0,0
628,1555,0.713336200177551,0,0
564,1526,0.713336200177551,0,0
889,2269,0.7274510706103533,0,0
702,984,0.7290617249283287,0,0
480,2066,0.7290617249283287,0,0
815,1797,0.711990263474641,0,0
1076,2068,0.711990263474641,0,0
853,988,0.7290617249283287,0,0
839,1842,0.6129739688241392,0,0
920,2240,0.711990263474641,0,0
532,1910,0.7055446717777563,0,0
618,1994,0.6689935163571238,0,0
322,1951,0.713336200177551,0,0
769,1772,0.711990263474641,0,0
1173,1042,0.7531184320683209,0,0
369,742,0.8540379341840119,1,0
417,1508,0.6027197451656674,0,0
